id,name,description,category,image_url,location
custom-sign-1,Custom Wood Sign,Handcrafted wooden signs with personalized text or designs. Perfect for home decor and storefronts.,Sign,https://picsum.photos/seed/wood-sign/800/600,Ready to Order
floating-shelf-oak,Floating Oak Shelf,Modern floating shelf in solid oak wood. Great for displaying books or decor in any room.,Shelf,https://picsum.photos/seed/wooden-shelf/800/600,In Stock
walnut-cutting-board,Walnut Cutting Board,Large handcrafted cutting board made from premium walnut wood. Food-safe and beautiful.,Kitchen,https://picsum.photos/seed/cutting-board/800/600,In Stock
rustic-serving-tray,Rustic Serving Tray,Hand-painted wooden serving tray with handles. Brings rustic charm to any table.,Tray,https://picsum.photos/seed/serving-tray/800/600,Made to Order
cedar-planter,Cedar Planter Box,Beautiful cedar wood planter box perfect for outdoor gardens and indoor plants.,Garden,https://picsum.photos/seed/wooden-planter/800/600,In Stock
farmhouse-shelf,Farmhouse Wall Shelf,Rustic farmhouse style shelf with support brackets. Ideal for kitchen or living room.,Shelf,https://picsum.photos/seed/farmhouse-shelf/800/600,In Stock
wooden-jewelry-box,Walnut Jewelry Box,Elegant small wooden box perfect for storing jewelry and keepsakes. Lined with felt.,Storage,https://picsum.photos/seed/jewelry-box/800/600,Made to Order
butcher-block,Maple Butcher Block,Professional-grade wooden butcher block for serious home chefs. Heavy-duty and durable.,Kitchen,https://picsum.photos/seed/butcher-block/800/600,In Stock
personalized-sign,Personalized Name Sign,Custom wood name sign perfect for bedrooms or nurseries. Painted in your choice of colors.,Sign,https://picsum.photos/seed/name-sign/800/600,Made to Order
wooden-picture-frame,Reclaimed Wood Frame,Picture frame made from reclaimed wood. Gives photos a rustic vintage look.,Decor,https://picsum.photos/seed/wood-frame/800/600,In Stock
